week_start,total_revenue,total_paid_spend,effective_paid_spend,blended_roas,share_of_search_index,invalid_traffic_pct,rolling_4wk_avg_revenue,rolling_4wk_avg_roas,rev_52_weeks_ago,promo_flag
2025-11-17,173194.02,63820.369999999995,61216.5,2.71,66.77,0.0408,118982.2,5.2,149835.99,0
2025-11-24,142766.6,13867.060000000001,13552.28,10.3,56.29,0.0227,127135.97,5.9,126188.84,0
2025-12-01,124383.9,14499.02,13946.61,8.58,54.41,0.0381,131138.09,6.78,209306.44,0
2025-12-08,109950.2,18524.239999999998,17073.79,5.94,51.69,0.0783,137573.68,6.88,131222.45,0
2025-12-15,100883.9,15650.05,14678.18,6.45,53.02,0.0621,119496.15,7.82,128895.23,0
2025-12-22,98262.99,17026.940000000002,15165.9,5.77,48.5,0.1093,108370.25,6.69,113212.82,0
2025-12-29,158883.82,52651.369999999995,47296.73,3.02,66.84,0.1017,116995.23,5.3,125429.19,0
2026-01-05,136974.43,16244.279999999999,15363.84,8.43,58.96,0.0542,123751.29,5.92,182214.56,0
2026-01-12,178526.71,51550.84,49184.66,3.46,76.4,0.0459,143161.99,5.17,227012.51,0
2026-01-19,184674.96,37861.94,35665.95,4.88,81.32,0.058,164764.98,4.95,193171.69,0
2026-01-26,158218.74,15326.029999999999,14115.27,10.32,73.26,0.079,164598.71,6.77,147903.29,0
2026-02-02,124273.47,9440.779999999999,8998.95,13.16,63.16,0.0468,161423.47,7.96,140197.84,0
2026-02-09,133047.94,18651.4,17114.52,7.13,65.92,0.0824,150053.78,8.87,110281.69,0
2026-02-16,130888.33,17358.79,16301.64,7.54,66.16,0.0609,136607.12,9.54,104116.65,1
2026-02-23,131363.91,25460.45,23545.82,5.16,62.9,0.0752,129893.41,8.25,98289.98,0
2026-03-02,114666.52,19220.75,17998.31,5.97,67.26,0.0636,127491.68,6.45,194038.53,0
2026-03-09,102113.99,14106.550000000001,13409.69,7.24,59.46,0.0494,119758.19,6.48,163327.95,0
2026-03-16,125312.34,24940.940000000002,22077.72,5.02,58.24,0.1148,118364.19,5.85,129731.27,0
2026-03-23,197906.59,67021.87,60560.96,2.95,80.44,0.0964,134999.86,5.3,159511.3,0
2026-03-30,169906.38,17752.16,17148.59,9.57,80.84,0.034,148809.83,6.2,198638.4,0
2026-04-06,239882.94,73984.73,66083.16,3.24,96.79,0.1068,183252.06,5.2,164958.85,0
2026-04-13,193218.59,20609.85,19193.95,9.38,81.31,0.0687,200228.62,6.29,151689.33,0
2026-04-20,157430.53,18531.88,16502.64,8.5,74.06,0.1095,190109.61,7.67,126724.09,0
2026-04-27,150643.94,20322.88,18290.59,7.41,64.57,0.1,185294.0,7.13,136254.26,0
2026-05-04,127299.84,18158.27,17023.38,7.01,71.75,0.0625,157148.23,8.08,122657.85,0
2026-05-11,184340.88,57044.78999999999,55778.4,3.23,85.24,0.0222,154928.8,6.54,170924.79,0
2026-05-18,180619.79,32389.280000000002,30870.22,5.58,84.67,0.0469,160726.11,5.81,132625.13,0
2026-05-25,206260.98,37500.41,34717.88,5.5,85.41,0.0742,174630.37,5.33,141901.08,1
2026-06-01,172979.62,24423.55,22389.07,7.08,73.08,0.0833,186050.32,5.35,144397.19,0
2026-06-08,155328.45,22732.31,21691.17,6.83,64.78,0.0458,178797.21,6.25,103504.81,0
2026-06-15,206479.85,61825.3,59729.42,3.34,81.44,0.0339,185262.23,5.69,155692.68,0
2026-06-22,193390.27,38005.32,34071.77,5.09,83.9,0.1035,182044.55,5.59,204497.35,0
