week_start,total_revenue,meta_spend,google_spend,tv_spend,promo_flag,share_of_search_index,invalid_traffic_pct
2025-05-12,170924.79,6185.87,3757.26,39476.31,0,79.19,0.0609
2025-05-19,132625.13,4060.74,4454.66,0.0,0,74.38,0.0225
2025-05-26,141901.08,12970.08,11086.99,0.0,0,63.4,0.0356
2025-06-02,144397.19,11775.43,8457.86,0.0,1,54.27,0.0916
2025-06-09,103504.81,12019.08,3082.77,0.0,0,54.25,0.0859
2025-06-16,155692.68,12483.97,3913.24,28571.36,0,63.49,0.0227
2025-06-23,204497.35,4814.49,8971.52,46057.97,0,83.3,0.0422
2025-06-30,150935.61,7943.12,3045.55,0.0,0,69.94,0.0431
2025-07-07,120956.27,5274.56,4447.27,0.0,0,65.65,0.0872
2025-07-14,125424.92,13494.14,7938.6,0.0,0,55.48,0.022
2025-07-21,113484.51,10856.28,9227.06,0.0,0,49.64,0.0304
2025-07-28,104695.85,7639.88,8867.65,0.0,0,49.76,0.1
2025-08-04,75436.95,4699.14,5018.42,0.0,0,38.37,0.0379
2025-08-11,85634.9,7420.81,9409.61,0.0,0,43.94,0.0853
2025-08-18,73925.48,7577.02,5135.24,0.0,0,44.13,0.0438
2025-08-25,87399.81,12025.67,5928.6,0.0,0,36.23,0.0299
2025-09-01,90913.13,11013.13,9718.42,0.0,0,43.18,0.0443
2025-09-08,96579.43,13759.34,8846.7,0.0,0,40.06,0.0922
2025-09-15,84512.69,9194.36,10643.01,0.0,0,37.27,0.1056
2025-09-22,77850.76,5315.54,8918.52,0.0,0,40.08,0.103
2025-09-29,165166.92,11845.69,8114.78,40872.46,0,65.28,0.0597
2025-10-06,128084.09,12368.64,3843.07,0.0,0,50.87,0.0868
2025-10-13,115630.86,10174.05,6309.44,0.0,0,46.37,0.0405
2025-10-20,115373.97,12480.64,5386.82,0.0,1,41.68,0.0493
2025-10-27,110151.51,9431.75,5195.91,0.0,1,39.29,0.1096
2025-11-03,108375.43,9750.06,11757.09,0.0,0,43.97,0.0213
2025-11-10,84207.83,8702.95,6537.88,0.0,0,39.13,0.0286
2025-11-17,173194.02,4279.61,11028.42,48512.34,0,66.77,0.0408
2025-11-24,142766.6,5186.81,8680.25,0.0,0,56.29,0.0227
2025-12-01,124383.9,4345.72,10153.3,0.0,0,54.41,0.0381
2025-12-08,109950.2,11000.51,7523.73,0.0,0,51.69,0.0783
2025-12-15,100883.9,7457.92,8192.13,0.0,0,53.02,0.0621
2025-12-22,98262.99,9594.28,7432.66,0.0,0,48.5,0.1093
2025-12-29,158883.82,13983.23,4757.19,33910.95,0,66.84,0.1017
2026-01-05,136974.43,6742.21,9502.07,0.0,0,58.96,0.0542
2026-01-12,178526.71,8514.21,5526.95,37509.68,0,76.4,0.0459
2026-01-19,184674.96,12311.06,3218.84,22332.04,0,81.32,0.058
2026-01-26,158218.74,6516.78,8809.25,0.0,0,73.26,0.079
2026-02-02,124273.47,4846.78,4594.0,0.0,0,63.16,0.0468
2026-02-09,133047.94,7187.27,11464.13,0.0,0,65.92,0.0824
2026-02-16,130888.33,5773.43,11585.36,0.0,1,66.16,0.0609
2026-02-23,131363.91,14226.67,11233.78,0.0,0,62.9,0.0752
2026-03-02,114666.52,12889.32,6331.43,0.0,0,67.26,0.0636
2026-03-09,102113.99,10967.44,3139.11,0.0,0,59.46,0.0494
2026-03-16,125312.34,13586.07,11354.87,0.0,0,58.24,0.1148
2026-03-23,197906.59,12840.39,6853.66,47327.82,0,80.44,0.0964
2026-03-30,169906.38,6052.27,11699.89,0.0,0,80.84,0.034
2026-04-06,239882.94,13818.15,11672.58,48494.0,0,96.79,0.1068
2026-04-13,193218.59,9932.76,10677.09,0.0,0,81.31,0.0687
2026-04-20,157430.53,12881.84,5650.04,0.0,0,74.06,0.1095
2026-04-27,150643.94,13857.0,6465.88,0.0,0,64.57,0.1
2026-05-04,127299.84,7498.04,10660.23,0.0,0,71.75,0.0625
2026-05-11,184340.88,5210.57,5852.3,45981.92,0,85.24,0.0222
2026-05-18,180619.79,6507.29,4525.43,21356.56,0,84.67,0.0469
2026-05-25,206260.98,8698.19,8011.21,20791.01,1,85.41,0.0742
2026-06-01,172979.62,12998.16,11425.39,0.0,0,73.08,0.0833
2026-06-08,155328.45,13468.04,9264.27,0.0,0,64.78,0.0458
2026-06-15,206479.85,4076.47,8130.55,49618.28,0,81.44,0.0339
2026-06-22,193390.27,9618.22,3874.59,24512.51,0,83.9,0.1035
